,Lead_ID,Lead_Source,Sales_Rep,Industry,Region,Created_Date,Qualified_Date,Demo_Date,Proposal_Date,Closed_Date,Deal_Status,Deal_Value,Qualified_Flag,Demo_Flag,Proposal_Flag,Won_Flag,Days_to_Qualify,Days_to_Demo,Days_to_Proposal,Days_to_Close
5473,LEAD_104237,Facebook,Neha Singh,Education,West,2025-02-23 10:41:08.238817,,,,,Lost,0.0,0,0,0,0,,,,
10637,LEAD_106275,Linkedin,Priya Mehta,IT,East,2025-02-23 10:41:08.238817,2025-02-25 10:41:08.238817,2025-03-06 10:41:08.238817,2025-03-11 10:41:08.238817,2025-03-22 10:41:08.238817,Lost,0.0,1,1,1,0,2.0,9.0,5.0,11.0
6186,LEAD_112932,Linkedin,Rahul Sharma,Healthcare,South,2025-02-23 10:41:08.238817,,,,,Lost,0.0,0,0,0,0,,,,
11219,LEAD_110753,Website,Nan,Healthcare,North,2025-02-23 10:41:08.238817,2025-03-04 10:41:08.238817,,,,Lost,0.0,1,0,0,0,9.0,,,
10624,LEAD_108853,Google Ads,Rahul Sharma,Finance,West,2025-02-23 10:41:08.238817,2025-02-26 10:41:08.238817,,,,Lost,0.0,1,0,0,0,3.0,,,
12211,LEAD_102943,Website,Rohit Kapoor,Retail,North,2025-02-23 10:41:08.238817,2025-02-28 10:41:08.238817,,,,Lost,0.0,1,0,0,0,5.0,,,
12188,LEAD_101095,Website,Rahul Sharma,Finance,West,2025-02-23 10:41:08.238817,2025-02-25 10:41:08.238817,,,,Lost,0.0,1,0,0,0,2.0,,,
16791,LEAD_113966,Google Ads,Neha Singh,Retail,Unknown,2025-02-23 10:41:08.238817,,,,,Lost,0.0,0,0,0,0,,,,
9121,LEAD_110002,Nan,Priya Mehta,Education,Unknown,2025-02-23 10:41:08.238817,2025-02-26 10:41:08.238817,2025-03-10 10:41:08.238817,2025-03-18 10:41:08.238817,2025-03-21 10:41:08.238817,Lost,0.0,1,1,1,0,3.0,12.0,8.0,3.0
14579,LEAD_113158,Linkedin,Amit Verma,Unknown,West,2025-02-23 10:41:08.238817,2025-03-03 10:41:08.238817,,,,Lost,0.0,1,0,0,0,8.0,,,
7965,LEAD_117753,Website,Rohit Kapoor,Unknown,North,2025-02-23 10:41:08.238817,,,,,Lost,0.0,0,0,0,0,,,,
15911,LEAD_102995,Linkedin,Neha Singh,IT,East,2025-02-23 10:41:08.238817,2025-02-28 10:41:08.238817,2025-03-12 10:41:08.238817,,,Lost,0.0,1,1,0,0,5.0,12.0,,
16182,LEAD_114156,Facebook,Rohit Kapoor,IT,South,2025-02-23 10:41:08.238817,2025-02-28 10:41:08.238817,2025-03-08 10:41:08.238817,2025-03-14 10:41:08.238817,2025-03-21 10:41:08.238817,Won,138495.0,1,1,1,1,5.0,8.0,6.0,7.0
8012,LEAD_108956,Google Ads,Priya Mehta,Unknown,South,2025-02-23 10:41:08.238817,,,,,Lost,0.0,0,0,0,0,,,,
9983,LEAD_113766,Linkedin,Neha Singh,Unknown,South,2025-02-23 10:41:08.238817,2025-02-27 10:41:08.238817,2025-02-28 10:41:08.238817,2025-03-11 10:41:08.238817,2025-03-14 10:41:08.238817,Won,56810.0,1,1,1,1,4.0,1.0,11.0,3.0
11960,LEAD_100286,Referral,Amit Verma,Unknown,West,2025-02-23 10:41:08.238817,2025-03-01 10:41:08.238817,2025-03-05 10:41:08.238817,2025-03-17 10:41:08.238817,2025-03-28 10:41:08.238817,Won,67904.0,1,1,1,1,6.0,4.0,12.0,11.0
9939,LEAD_107213,Facebook,Neha Singh,Healthcare,East,2025-02-23 10:41:08.238817,2025-02-28 10:41:08.238817,2025-03-02 10:41:08.238817,,,Lost,0.0,1,1,0,0,5.0,2.0,,
8992,LEAD_107907,Google Ads,Neha Singh,Retail,West,2025-02-23 10:41:08.238817,2025-03-03 10:41:08.238817,2025-03-15 10:41:08.238817,,,Lost,0.0,1,1,0,0,8.0,12.0,,
6482,LEAD_112403,Facebook,Priya Mehta,Education,Unknown,2025-02-23 10:41:08.238817,2025-03-04 10:41:08.238817,2025-03-06 10:41:08.238817,2025-03-19 10:41:08.238817,2025-03-22 10:41:08.238817,Won,127768.0,1,1,1,1,9.0,2.0,13.0,3.0
17936,LEAD_102106,Website,Amit Verma,IT,East,2025-02-23 10:41:08.238817,2025-03-02 10:41:08.238817,2025-03-04 10:41:08.238817,,,Lost,0.0,1,1,0,0,7.0,2.0,,
10188,LEAD_115935,Linkedin,Neha Singh,Education,North,2025-02-23 10:41:08.238817,2025-03-01 10:41:08.238817,2025-03-03 10:41:08.238817,2025-03-09 10:41:08.238817,2025-03-22 10:41:08.238817,Won,93810.0,1,1,1,1,6.0,2.0,6.0,13.0
9354,LEAD_108737,Website,Rahul Sharma,Unknown,Unknown,2025-02-23 10:41:08.238817,2025-02-26 10:41:08.238817,2025-03-06 10:41:08.238817,2025-03-15 10:41:08.238817,2025-03-26 10:41:08.238817,Won,29650.0,1,1,1,1,3.0,8.0,9.0,11.0
3992,LEAD_114643,Referral,Priya Mehta,Unknown,East,2025-02-23 10:41:08.238817,,,,,Lost,0.0,0,0,0,0,,,,
3821,LEAD_113512,Referral,Priya Mehta,Education,Unknown,2025-02-23 10:41:08.238817,2025-03-04 10:41:08.238817,2025-03-05 10:41:08.238817,2025-03-21 10:41:08.238817,2025-03-28 10:41:08.238817,Won,186292.0,1,1,1,1,9.0,1.0,16.0,7.0
14100,LEAD_102777,Google Ads,Neha Singh,Retail,South,2025-02-23 10:41:08.238817,,,,,Lost,0.0,0,0,0,0,,,,
17281,LEAD_110736,Website,Neha Singh,Unknown,Unknown,2025-02-23 10:41:08.238817,,,,,Lost,0.0,0,0,0,0,,,,
4849,LEAD_111889,Website,Neha Singh,Finance,South,2025-02-23 10:41:08.238817,2025-02-26 10:41:08.238817,2025-03-11 10:41:08.238817,2025-03-28 10:41:08.238817,2025-03-31 10:41:08.238817,Won,14006.0,1,1,1,1,3.0,13.0,17.0,3.0
14264,LEAD_116979,Nan,Rahul Sharma,Healthcare,North,2025-02-23 10:41:08.238817,2025-02-25 10:41:08.238817,,,,Lost,0.0,1,0,0,0,2.0,,,
2599,LEAD_101921,Nan,Priya Mehta,Finance,North,2025-02-23 10:41:08.238817,2025-03-04 10:41:08.238817,2025-03-11 10:41:08.238817,,,Lost,0.0,1,1,0,0,9.0,7.0,,
16686,LEAD_105389,Google Ads,Rahul Sharma,Healthcare,North,2025-02-23 10:41:08.238817,,,,,Lost,0.0,0,0,0,0,,,,
10209,LEAD_117192,Google Ads,Amit Verma,Retail,Unknown,2025-02-23 10:41:08.238817,2025-02-24 10:41:08.238817,2025-03-01 10:41:08.238817,2025-03-11 10:41:08.238817,2025-03-13 10:41:08.238817,Lost,0.0,1,1,1,0,1.0,5.0,10.0,2.0
9555,LEAD_107892,Website,Nan,Finance,East,2025-02-23 10:41:08.238817,2025-02-24 10:41:08.238817,2025-03-04 10:41:08.238817,,,Lost,0.0,1,1,0,0,1.0,8.0,,
10758,LEAD_101413,Website,Neha Singh,Retail,North,2025-02-23 10:41:08.238817,2025-03-03 10:41:08.238817,2025-03-13 10:41:08.238817,2025-03-31 10:41:08.238817,2025-04-05 10:41:08.238817,Won,163076.0,1,1,1,1,8.0,10.0,18.0,5.0
15130,LEAD_104576,Linkedin,Nan,Retail,Unknown,2025-02-23 10:41:08.238817,2025-03-02 10:41:08.238817,2025-03-10 10:41:08.238817,2025-03-27 10:41:08.238817,2025-04-05 10:41:08.238817,Won,35427.0,1,1,1,1,7.0,8.0,17.0,9.0
4897,LEAD_102999,Facebook,Rahul Sharma,IT,North,2025-02-23 10:41:08.238817,2025-03-01 10:41:08.238817,2025-03-07 10:41:08.238817,2025-03-11 10:41:08.238817,2025-03-17 10:41:08.238817,Won,181150.0,1,1,1,1,6.0,6.0,4.0,6.0
9283,LEAD_114688,Website,Amit Verma,Retail,South,2025-02-23 10:41:08.238817,2025-02-24 10:41:08.238817,,,,Lost,0.0,1,0,0,0,1.0,,,
8847,LEAD_107035,Facebook,Rahul Sharma,Finance,East,2025-02-23 10:41:08.238817,,,,,Lost,0.0,0,0,0,0,,,,
14114,LEAD_106733,Referral,Priya Mehta,Education,East,2025-02-23 10:41:08.238817,2025-02-27 10:41:08.238817,,,,Lost,0.0,1,0,0,0,4.0,,,
15812,LEAD_117109,Google Ads,Nan,Healthcare,South,2025-02-23 10:41:08.238817,,,,,Lost,0.0,0,0,0,0,,,,
12707,LEAD_110375,Facebook,Priya Mehta,Retail,Unknown,2025-02-23 10:41:08.238817,2025-02-24 10:41:08.238817,,,,Lost,0.0,1,0,0,0,1.0,,,
12435,LEAD_112970,Google Ads,Amit Verma,Unknown,East,2025-02-23 10:41:08.238817,,,,,Lost,0.0,0,0,0,0,,,,
88,LEAD_114483,Referral,Nan,IT,West,2025-02-24 10:41:08.238817,,,,,Lost,0.0,0,0,0,0,,,,
17507,LEAD_110115,Linkedin,Amit Verma,Retail,North,2025-02-24 10:41:08.238817,2025-02-25 10:41:08.238817,2025-02-28 10:41:08.238817,2025-03-02 10:41:08.238817,2025-03-04 10:41:08.238817,Lost,0.0,1,1,1,0,1.0,3.0,2.0,2.0
14675,LEAD_113772,Linkedin,Rahul Sharma,Retail,North,2025-02-24 10:41:08.238817,2025-02-28 10:41:08.238817,2025-03-04 10:41:08.238817,,,Lost,0.0,1,1,0,0,4.0,4.0,,
11997,LEAD_115810,Google Ads,Rahul Sharma,Education,East,2025-02-24 10:41:08.238817,,,,,Lost,0.0,0,0,0,0,,,,
6976,LEAD_109936,Linkedin,Rahul Sharma,Education,North,2025-02-24 10:41:08.238817,,,,,Lost,0.0,0,0,0,0,,,,
16195,LEAD_105345,Facebook,Amit Verma,Education,South,2025-02-24 10:41:08.238817,2025-02-25 10:41:08.238817,2025-03-01 10:41:08.238817,,,Lost,0.0,1,1,0,0,1.0,4.0,,
7010,LEAD_108847,Referral,Rahul Sharma,IT,West,2025-02-24 10:41:08.238817,2025-03-04 10:41:08.238817,2025-03-07 10:41:08.238817,2025-03-19 10:41:08.238817,2025-03-26 10:41:08.238817,Won,41313.0,1,1,1,1,8.0,3.0,12.0,7.0
9425,LEAD_117209,Google Ads,Rohit Kapoor,Healthcare,East,2025-02-24 10:41:08.238817,2025-03-01 10:41:08.238817,2025-03-11 10:41:08.238817,2025-03-16 10:41:08.238817,2025-03-20 10:41:08.238817,Lost,0.0,1,1,1,0,5.0,10.0,5.0,4.0
7131,LEAD_108213,Referral,Rahul Sharma,Healthcare,West,2025-02-24 10:41:08.238817,2025-02-28 10:41:08.238817,2025-03-11 10:41:08.238817,2025-03-22 10:41:08.238817,2025-04-04 10:41:08.238817,Lost,0.0,1,1,1,0,4.0,11.0,11.0,13.0
1571,LEAD_105865,Linkedin,Rohit Kapoor,Finance,North,2025-02-24 10:41:08.238817,,,,,Lost,0.0,0,0,0,0,,,,
16809,LEAD_103091,Nan,Amit Verma,Education,West,2025-02-24 10:41:08.238817,2025-03-01 10:41:08.238817,2025-03-11 10:41:08.238817,,,Lost,0.0,1,1,0,0,5.0,10.0,,
17243,LEAD_109480,Google Ads,Rahul Sharma,Unknown,Unknown,2025-02-24 10:41:08.238817,2025-03-05 10:41:08.238817,2025-03-12 10:41:08.238817,,,Lost,0.0,1,1,0,0,9.0,7.0,,
13409,LEAD_109102,Referral,Rohit Kapoor,Unknown,South,2025-02-24 10:41:08.238817,,,,,Lost,0.0,0,0,0,0,,,,
266,LEAD_112554,Linkedin,Rahul Sharma,Healthcare,North,2025-02-24 10:41:08.238817,,,,,Lost,0.0,0,0,0,0,,,,
6448,LEAD_100964,Nan,Rohit Kapoor,Finance,West,2025-02-24 10:41:08.238817,,,,,Lost,0.0,0,0,0,0,,,,
17221,LEAD_116652,Website,Priya Mehta,IT,West,2025-02-24 10:41:08.238817,,,,,Lost,0.0,0,0,0,0,,,,
13271,LEAD_111558,Linkedin,Priya Mehta,Education,East,2025-02-24 10:41:08.238817,,,,,Lost,0.0,0,0,0,0,,,,
6344,LEAD_105442,Linkedin,Nan,Retail,North,2025-02-24 10:41:08.238817,2025-03-02 10:41:08.238817,,,,Lost,0.0,1,0,0,0,6.0,,,
7370,LEAD_103934,Google Ads,Amit Verma,Finance,Unknown,2025-02-24 10:41:08.238817,2025-02-26 10:41:08.238817,2025-03-01 10:41:08.238817,2025-03-14 10:41:08.238817,2025-03-21 10:41:08.238817,Won,75692.0,1,1,1,1,2.0,3.0,13.0,7.0
9958,LEAD_104265,Nan,Priya Mehta,Education,South,2025-02-24 10:41:08.238817,2025-02-25 10:41:08.238817,,,,Lost,0.0,1,0,0,0,1.0,,,
17905,LEAD_104537,Facebook,Amit Verma,Healthcare,Unknown,2025-02-24 10:41:08.238817,2025-03-05 10:41:08.238817,2025-03-15 10:41:08.238817,2025-03-24 10:41:08.238817,2025-04-07 10:41:08.238817,Lost,0.0,1,1,1,0,9.0,10.0,9.0,14.0
4243,LEAD_117485,Facebook,Amit Verma,Finance,West,2025-02-24 10:41:08.238817,,,,,Lost,0.0,0,0,0,0,,,,
802,LEAD_116959,Linkedin,Neha Singh,IT,East,2025-02-24 10:41:08.238817,2025-03-05 10:41:08.238817,2025-03-13 10:41:08.238817,2025-03-15 10:41:08.238817,2025-03-21 10:41:08.238817,Lost,0.0,1,1,1,0,9.0,8.0,2.0,6.0
2595,LEAD_112780,Google Ads,Amit Verma,Healthcare,Unknown,2025-02-24 10:41:08.238817,,,,,Lost,0.0,0,0,0,0,,,,
2892,LEAD_112413,Nan,Amit Verma,Finance,South,2025-02-24 10:41:08.238817,2025-03-02 10:41:08.238817,2025-03-07 10:41:08.238817,,,Lost,0.0,1,1,0,0,6.0,5.0,,
13378,LEAD_104238,Facebook,Priya Mehta,Education,South,2025-02-24 10:41:08.238817,2025-02-26 10:41:08.238817,,,,Lost,0.0,1,0,0,0,2.0,,,
16631,LEAD_114052,Website,Priya Mehta,Education,East,2025-02-24 10:41:08.238817,2025-03-01 10:41:08.238817,2025-03-09 10:41:08.238817,,,Lost,0.0,1,1,0,0,5.0,8.0,,
14764,LEAD_117708,Google Ads,Amit Verma,Retail,North,2025-02-24 10:41:08.238817,2025-03-05 10:41:08.238817,2025-03-17 10:41:08.238817,,,Lost,0.0,1,1,0,0,9.0,12.0,,
941,LEAD_115932,Nan,Rohit Kapoor,IT,East,2025-02-24 10:41:08.238817,2025-02-26 10:41:08.238817,2025-03-10 10:41:08.238817,,,Lost,0.0,1,1,0,0,2.0,12.0,,
17466,LEAD_113054,Website,Amit Verma,IT,North,2025-02-24 10:41:08.238817,,,,,Lost,0.0,0,0,0,0,,,,
6342,LEAD_105078,Website,Amit Verma,Retail,East,2025-02-24 10:41:08.238817,2025-02-27 10:41:08.238817,,,,Lost,0.0,1,0,0,0,3.0,,,
17338,LEAD_103835,Facebook,Nan,Finance,East,2025-02-24 10:41:08.238817,2025-03-04 10:41:08.238817,,,,Lost,0.0,1,0,0,0,8.0,,,
10124,LEAD_106775,Referral,Amit Verma,Healthcare,South,2025-02-24 10:41:08.238817,2025-02-28 10:41:08.238817,2025-03-06 10:41:08.238817,2025-03-19 10:41:08.238817,2025-03-23 10:41:08.238817,Won,187637.0,1,1,1,1,4.0,6.0,13.0,4.0
5456,LEAD_114337,Nan,Rohit Kapoor,IT,East,2025-02-24 10:41:08.238817,,,,,Lost,0.0,0,0,0,0,,,,
2991,LEAD_116000,Google Ads,Nan,IT,West,2025-02-24 10:41:08.238817,2025-03-03 10:41:08.238817,2025-03-16 10:41:08.238817,2025-03-18 10:41:08.238817,2025-03-31 10:41:08.238817,Won,63051.0,1,1,1,1,7.0,13.0,2.0,13.0
10016,LEAD_101360,Website,Rahul Sharma,Retail,West,2025-02-24 10:41:08.238817,2025-03-04 10:41:08.238817,2025-03-06 10:41:08.238817,,,Lost,0.0,1,1,0,0,8.0,2.0,,
13824,LEAD_100822,Linkedin,Neha Singh,Education,North,2025-02-24 10:41:08.238817,2025-03-05 10:41:08.238817,,,,Lost,0.0,1,0,0,0,9.0,,,
11678,LEAD_112449,Google Ads,Amit Verma,Education,East,2025-02-24 10:41:08.238817,2025-02-28 10:41:08.238817,2025-03-04 10:41:08.238817,,,Lost,0.0,1,1,0,0,4.0,4.0,,
5663,LEAD_114462,Google Ads,Rohit Kapoor,Healthcare,Unknown,2025-02-24 10:41:08.238817,,,,,Lost,0.0,0,0,0,0,,,,
8246,LEAD_108804,Facebook,Neha Singh,IT,West,2025-02-24 10:41:08.238817,2025-02-27 10:41:08.238817,2025-03-07 10:41:08.238817,,,Lost,0.0,1,1,0,0,3.0,8.0,,
15670,LEAD_107212,Google Ads,Amit Verma,Education,Unknown,2025-02-24 10:41:08.238817,,,,,Lost,0.0,0,0,0,0,,,,
8446,LEAD_115108,Linkedin,Priya Mehta,Unknown,South,2025-02-24 10:41:08.238817,2025-02-25 10:41:08.238817,2025-03-08 10:41:08.238817,2025-03-17 10:41:08.238817,2025-03-26 10:41:08.238817,Lost,0.0,1,1,1,0,1.0,11.0,9.0,9.0
5104,LEAD_105809,Website,Neha Singh,IT,Unknown,2025-02-24 10:41:08.238817,2025-03-02 10:41:08.238817,,,,Lost,0.0,1,0,0,0,6.0,,,
10022,LEAD_110786,Referral,Rahul Sharma,Finance,North,2025-02-24 10:41:08.238817,2025-03-04 10:41:08.238817,2025-03-09 10:41:08.238817,2025-03-21 10:41:08.238817,2025-04-02 10:41:08.238817,Lost,0.0,1,1,1,0,8.0,5.0,12.0,12.0
13885,LEAD_102293,Google Ads,Amit Verma,Unknown,South,2025-02-24 10:41:08.238817,2025-03-01 10:41:08.238817,,,,Lost,0.0,1,0,0,0,5.0,,,
8950,LEAD_110148,Google Ads,Priya Mehta,IT,East,2025-02-24 10:41:08.238817,,,,,Lost,0.0,0,0,0,0,,,,
15820,LEAD_107368,Google Ads,Priya Mehta,Unknown,East,2025-02-24 10:41:08.238817,,,,,Lost,0.0,0,0,0,0,,,,
5312,LEAD_114526,Google Ads,Rahul Sharma,Unknown,South,2025-02-24 10:41:08.238817,,,,,Lost,0.0,0,0,0,0,,,,
372,LEAD_107998,Facebook,Priya Mehta,IT,West,2025-02-25 10:41:08.238817,2025-03-02 10:41:08.238817,2025-03-15 10:41:08.238817,2025-03-21 10:41:08.238817,2025-04-04 10:41:08.238817,Lost,0.0,1,1,1,0,5.0,13.0,6.0,14.0
14570,LEAD_102336,Facebook,Nan,IT,North,2025-02-25 10:41:08.238817,2025-03-04 10:41:08.238817,,,,Lost,0.0,1,0,0,0,7.0,,,
806,LEAD_108751,Linkedin,Nan,Healthcare,Unknown,2025-02-25 10:41:08.238817,,,,,Lost,0.0,0,0,0,0,,,,
2581,LEAD_115627,Linkedin,Rahul Sharma,Education,East,2025-02-25 10:41:08.238817,,,,,Lost,0.0,0,0,0,0,,,,
5493,LEAD_103512,Website,Amit Verma,IT,Unknown,2025-02-25 10:41:08.238817,2025-03-01 10:41:08.238817,,,,Lost,0.0,1,0,0,0,4.0,,,
12972,LEAD_116080,Website,Rohit Kapoor,IT,West,2025-02-25 10:41:08.238817,,,,,Lost,0.0,0,0,0,0,,,,
19,LEAD_105798,Google Ads,Rahul Sharma,Healthcare,East,2025-02-25 10:41:08.238817,2025-03-05 10:41:08.238817,2025-03-17 10:41:08.238817,2025-03-30 10:41:08.238817,2025-04-11 10:41:08.238817,Won,190792.0,1,1,1,1,8.0,12.0,13.0,12.0
4050,LEAD_110406,Google Ads,Priya Mehta,Retail,South,2025-02-25 10:41:08.238817,2025-02-27 10:41:08.238817,,,,Lost,0.0,1,0,0,0,2.0,,,
4475,LEAD_110785,Nan,Rahul Sharma,Finance,East,2025-02-25 10:41:08.238817,2025-03-01 10:41:08.238817,,,,Lost,0.0,1,0,0,0,4.0,,,
1839,LEAD_109606,Google Ads,Priya Mehta,Education,East,2025-02-25 10:41:08.238817,2025-03-03 10:41:08.238817,,,,Lost,0.0,1,0,0,0,6.0,,,
11039,LEAD_115796,Linkedin,Priya Mehta,Retail,Unknown,2025-02-25 10:41:08.238817,2025-03-02 10:41:08.238817,,,,Lost,0.0,1,0,0,0,5.0,,,
12984,LEAD_105807,Website,Neha Singh,Retail,South,2025-02-25 10:41:08.238817,2025-03-03 10:41:08.238817,2025-03-15 10:41:08.238817,,,Lost,0.0,1,1,0,0,6.0,12.0,,
3723,LEAD_103852,Facebook,Priya Mehta,Education,Unknown,2025-02-25 10:41:08.238817,2025-02-26 10:41:08.238817,,,,Lost,0.0,1,0,0,0,1.0,,,
15286,LEAD_101856,Linkedin,Rohit Kapoor,IT,East,2025-02-25 10:41:08.238817,,,,,Lost,0.0,0,0,0,0,,,,
8515,LEAD_116907,Website,Neha Singh,Retail,East,2025-02-25 10:41:08.238817,,,,,Lost,0.0,0,0,0,0,,,,
5234,LEAD_117358,Nan,Amit Verma,Finance,East,2025-02-25 10:41:08.238817,2025-03-06 10:41:08.238817,,,,Lost,0.0,1,0,0,0,9.0,,,
1344,LEAD_108960,Referral,Priya Mehta,Healthcare,Unknown,2025-02-25 10:41:08.238817,2025-03-02 10:41:08.238817,2025-03-11 10:41:08.238817,,,Lost,0.0,1,1,0,0,5.0,9.0,,
13248,LEAD_105937,Facebook,Priya Mehta,Healthcare,South,2025-02-25 10:41:08.238817,2025-03-01 10:41:08.238817,2025-03-05 10:41:08.238817,2025-03-13 10:41:08.238817,2025-03-20 10:41:08.238817,Lost,0.0,1,1,1,0,4.0,4.0,8.0,7.0
17444,LEAD_110631,Linkedin,Priya Mehta,Finance,South,2025-02-25 10:41:08.238817,,,,,Lost,0.0,0,0,0,0,,,,
3555,LEAD_116985,Nan,Priya Mehta,Healthcare,Unknown,2025-02-25 10:41:08.238817,2025-03-03 10:41:08.238817,2025-03-12 10:41:08.238817,,,Lost,0.0,1,1,0,0,6.0,9.0,,
12251,LEAD_100653,Google Ads,Rohit Kapoor,Unknown,Unknown,2025-02-25 10:41:08.238817,2025-02-26 10:41:08.238817,,,,Lost,0.0,1,0,0,0,1.0,,,
14558,LEAD_114725,Google Ads,Neha Singh,Unknown,North,2025-02-25 10:41:08.238817,2025-02-26 10:41:08.238817,,,,Lost,0.0,1,0,0,0,1.0,,,
4647,LEAD_113100,Facebook,Amit Verma,Unknown,South,2025-02-25 10:41:08.238817,,,,,Lost,0.0,0,0,0,0,,,,
5568,LEAD_112891,Website,Priya Mehta,IT,East,2025-02-25 10:41:08.238817,2025-03-04 10:41:08.238817,2025-03-15 10:41:08.238817,2025-03-21 10:41:08.238817,2025-04-01 10:41:08.238817,Lost,0.0,1,1,1,0,7.0,11.0,6.0,11.0
4564,LEAD_107999,Website,Priya Mehta,Healthcare,Unknown,2025-02-25 10:41:08.238817,2025-02-26 10:41:08.238817,,,,Lost,0.0,1,0,0,0,1.0,,,
3323,LEAD_101849,Website,Amit Verma,Retail,North,2025-02-25 10:41:08.238817,2025-03-03 10:41:08.238817,2025-03-04 10:41:08.238817,,,Lost,0.0,1,1,0,0,6.0,1.0,,
11913,LEAD_115739,Website,Rohit Kapoor,Education,Unknown,2025-02-25 10:41:08.238817,2025-03-06 10:41:08.238817,2025-03-11 10:41:08.238817,,,Lost,0.0,1,1,0,0,9.0,5.0,,
2376,LEAD_112751,Linkedin,Rohit Kapoor,IT,Unknown,2025-02-25 10:41:08.238817,2025-02-26 10:41:08.238817,,,,Lost,0.0,1,0,0,0,1.0,,,
3350,LEAD_112711,Website,Priya Mehta,Retail,South,2025-02-25 10:41:08.238817,2025-02-28 10:41:08.238817,2025-03-13 10:41:08.238817,2025-03-29 10:41:08.238817,2025-04-08 10:41:08.238817,Lost,0.0,1,1,1,0,3.0,13.0,16.0,10.0
321,LEAD_106625,Referral,Rohit Kapoor,Education,North,2025-02-25 10:41:08.238817,2025-02-27 10:41:08.238817,2025-03-08 10:41:08.238817,,,Lost,0.0,1,1,0,0,2.0,9.0,,
8028,LEAD_104083,Google Ads,Rahul Sharma,Healthcare,East,2025-02-25 10:41:08.238817,2025-03-04 10:41:08.238817,2025-03-11 10:41:08.238817,,,Lost,0.0,1,1,0,0,7.0,7.0,,
15803,LEAD_115580,Website,Neha Singh,Healthcare,Unknown,2025-02-25 10:41:08.238817,2025-03-04 10:41:08.238817,,,,Lost,0.0,1,0,0,0,7.0,,,
10218,LEAD_101073,Linkedin,Rahul Sharma,Education,South,2025-02-25 10:41:08.238817,2025-02-26 10:41:08.238817,2025-03-03 10:41:08.238817,,,Lost,0.0,1,1,0,0,1.0,5.0,,
11998,LEAD_115146,Facebook,Amit Verma,Finance,Unknown,2025-02-25 10:41:08.238817,2025-03-04 10:41:08.238817,2025-03-13 10:41:08.238817,2025-03-30 10:41:08.238817,2025-04-01 10:41:08.238817,Lost,0.0,1,1,1,0,7.0,9.0,17.0,2.0
6946,LEAD_102871,Website,Priya Mehta,Education,South,2025-02-25 10:41:08.238817,2025-03-03 10:41:08.238817,2025-03-06 10:41:08.238817,,,Lost,0.0,1,1,0,0,6.0,3.0,,
9630,LEAD_107569,Referral,Nan,Retail,Unknown,2025-02-25 10:41:08.238817,2025-02-27 10:41:08.238817,2025-03-04 10:41:08.238817,,,Lost,0.0,1,1,0,0,2.0,5.0,,
