Lead_ID,Lead_Source,Sales_Rep,Industry,Region,Created_Date,Qualified_Date,Demo_Date,Proposal_Date,Closed_Date,Deal_Status,Deal_Value
LEAD_112503,Facebook,Amit Verma,IT,East,2025-03-23 10:41:08.238817,2025-04-01 10:41:08.238817,2025-04-08 10:41:08.238817,,,Lost,
LEAD_109320,facebook ,Rahul Sharma,Healthcare,North,2026-01-08 10:41:08.238817,2026-01-09 10:41:08.238817,2026-01-16 10:41:08.238817,2026-01-25 10:41:08.238817,2026-01-27 10:41:08.238817,Won,109535.0
LEAD_104795,website,rahul sharma,Healthcare,North,2025-04-21 10:41:08.238817,,,,,Lost,
LEAD_104474,,Priya Mehta,Finance,,2025-11-21 10:41:08.238817,2025-11-23 10:41:08.238817,2025-11-27 10:41:08.238817,2025-12-03 10:41:08.238817,2025-12-06 10:41:08.238817,Won,80951.0
LEAD_114531,Website,Neha Singh,IT,,2025-12-28 10:41:08.238817,2026-01-04 10:41:08.238817,2026-01-09 10:41:08.238817,,,Lost,
LEAD_102573,Google Ads,Rahul Sharma,Retail,South,2025-04-08 10:41:08.238817,2025-04-17 10:41:08.238817,2025-04-28 10:41:08.238817,2025-05-01 10:41:08.238817,2025-05-05 10:41:08.238817,Won,10524.0
LEAD_109012,Facebook,amit verma,Healthcare,,2025-03-14 10:41:08.238817,2025-03-17 10:41:08.238817,2025-03-22 10:41:08.238817,2025-03-27 10:41:08.238817,2025-04-10 10:41:08.238817,Lost,
LEAD_104938,Referral,Amit Verma,IT,,2026-02-15 10:41:08.238817,,,,,Lost,
LEAD_105943,Facebook,PRIYA MEHTA,Retail,West,2025-11-27 10:41:08.238817,2025-11-29 10:41:08.238817,2025-12-01 10:41:08.238817,2025-12-16 10:41:08.238817,2025-12-28 10:41:08.238817,Lost,
LEAD_111133,Facebook,Neha Singh,,North,2025-05-20 10:41:08.238817,,,,,Lost,
LEAD_105550,Referral,Rahul Sharma,Retail,West,2025-04-03 10:41:08.238817,2025-04-09 10:41:08.238817,,,,Lost,
LEAD_109449,facebook ,rahul sharma,,East,2025-03-26 10:41:08.238817,2025-04-02 10:41:08.238817,2025-04-09 10:41:08.238817,,,Lost,
LEAD_104373,Website,amit verma,Healthcare,South,2025-05-14 10:41:08.238817,2025-05-22 10:41:08.238817,,,,Lost,
LEAD_109035,,Priya Mehta,Finance,West,2025-07-16 10:41:08.238817,2025-07-23 10:41:08.238817,,,,Lost,
LEAD_111538,LinkedIn,Priya Mehta,IT,North,2025-08-20 10:41:08.238817,2025-08-21 10:41:08.238817,,,,Lost,
LEAD_112316,LinkedIn,amit verma,Retail,,2025-02-26 10:41:08.238817,2025-03-05 10:41:08.238817,2025-03-09 10:41:08.238817,2025-03-28 10:41:08.238817,2025-04-10 10:41:08.238817,Lost,
LEAD_115295,Facebook,Rahul Sharma,Finance,South,2025-05-27 10:41:08.238817,2025-05-30 10:41:08.238817,2025-06-09 10:41:08.238817,,,Lost,
LEAD_104402,google ads,Amit Verma,Finance,West,2025-06-19 10:41:08.238817,2025-06-27 10:41:08.238817,2025-06-28 10:41:08.238817,2025-07-09 10:41:08.238817,2025-07-21 10:41:08.238817,Lost,
LEAD_106405,google ads,rahul sharma,Finance,West,2025-09-30 10:41:08.238817,2025-10-06 10:41:08.238817,,,,Lost,
LEAD_116231,Referral,Rahul Sharma,Education,,2026-01-17 10:41:08.238817,2026-01-19 10:41:08.238817,2026-01-24 10:41:08.238817,2026-02-01 10:41:08.238817,2026-02-10 10:41:08.238817,Lost,
LEAD_112880,Website,Neha Singh,Education,East,2025-12-11 10:41:08.238817,2025-12-20 10:41:08.238817,,,,Lost,
LEAD_117352,LinkedIn,Rohit Kapoor,IT,,2025-03-07 10:41:08.238817,2025-03-08 10:41:08.238817,2025-03-21 10:41:08.238817,2025-03-22 10:41:08.238817,2025-04-02 10:41:08.238817,Lost,
LEAD_106895,google ads,Amit Verma,IT,North,2025-09-24 10:41:08.238817,2025-09-29 10:41:08.238817,2025-10-03 10:41:08.238817,2025-10-17 10:41:08.238817,2025-10-20 10:41:08.238817,Lost,
LEAD_107693,Website,Priya Mehta,Retail,South,2025-09-25 10:41:08.238817,2025-09-27 10:41:08.238817,2025-10-05 10:41:08.238817,2025-10-15 10:41:08.238817,2025-10-24 10:41:08.238817,Lost,
LEAD_116117,website,amit verma,Education,North,2025-06-12 10:41:08.238817,2025-06-15 10:41:08.238817,2025-06-24 10:41:08.238817,2025-07-02 10:41:08.238817,2025-07-14 10:41:08.238817,Won,122963.0
LEAD_108485,Referral,Rohit Kapoor,Finance,,2025-08-08 10:41:08.238817,2025-08-17 10:41:08.238817,2025-08-24 10:41:08.238817,2025-08-26 10:41:08.238817,2025-09-01 10:41:08.238817,Won,16428.0
LEAD_105486,LinkedIn,Priya Mehta,IT,West,2025-10-11 10:41:08.238817,2025-10-20 10:41:08.238817,2025-11-03 10:41:08.238817,2025-11-18 10:41:08.238817,2025-11-20 10:41:08.238817,Lost,
LEAD_115459,facebook ,Rohit Kapoor,IT,,2025-10-24 10:41:08.238817,2025-10-31 10:41:08.238817,2025-11-05 10:41:08.238817,2025-11-23 10:41:08.238817,2025-11-26 10:41:08.238817,Won,30588.0
LEAD_106308,Google Ads,Rahul Sharma,Retail,,2025-12-07 10:41:08.238817,2025-12-10 10:41:08.238817,,,,Lost,
LEAD_116390,Referral,Rahul Sharma,IT,East,2025-11-13 10:41:08.238817,2025-11-18 10:41:08.238817,,,,Lost,
LEAD_114115,LinkedIn,rahul sharma,Healthcare,South,2025-11-15 10:41:08.238817,,,,,Lost,
LEAD_109087,Referral,PRIYA MEHTA,Finance,,2025-03-08 10:41:08.238817,2025-03-13 10:41:08.238817,2025-03-17 10:41:08.238817,2025-03-31 10:41:08.238817,2025-04-03 10:41:08.238817,Lost,
LEAD_103482,Google Ads,Rahul Sharma,Retail,South,2025-08-30 10:41:08.238817,,,,,Lost,
LEAD_113172,Facebook,Priya Mehta,Healthcare,West,2025-07-14 10:41:08.238817,2025-07-21 10:41:08.238817,2025-07-30 10:41:08.238817,,,Lost,
LEAD_113214,website,Rahul Sharma,,West,2025-05-04 10:41:08.238817,,,,,Lost,
LEAD_110137,Google Ads,Rohit Kapoor,Retail,East,2025-11-10 10:41:08.238817,2025-11-16 10:41:08.238817,2025-11-24 10:41:08.238817,,,Lost,
LEAD_113660,Referral,,Finance,North,2026-01-13 10:41:08.238817,,,,,Lost,
LEAD_109868,Google Ads,,,South,2025-10-25 10:41:08.238817,2025-10-29 10:41:08.238817,2025-11-05 10:41:08.238817,,,Lost,
LEAD_105748,facebook ,rahul sharma,IT,,2026-02-12 10:41:08.238817,2026-02-21 10:41:08.238817,2026-03-05 10:41:08.238817,2026-03-21 10:41:08.238817,2026-03-24 10:41:08.238817,Won,131833.0
LEAD_111565,LinkedIn,Rohit Kapoor,Healthcare,West,2025-09-14 10:41:08.238817,2025-09-21 10:41:08.238817,2025-09-29 10:41:08.238817,2025-10-04 10:41:08.238817,2025-10-05 10:41:08.238817,Won,54799.0
LEAD_107331,Facebook,,Education,South,2025-10-02 10:41:08.238817,2025-10-10 10:41:08.238817,,,,Lost,
LEAD_103701,google ads,Amit Verma,Retail,,2025-06-21 10:41:08.238817,2025-06-29 10:41:08.238817,2025-07-01 10:41:08.238817,2025-07-02 10:41:08.238817,2025-07-07 10:41:08.238817,Lost,
LEAD_110817,Google Ads,Rohit Kapoor,Healthcare,South,2025-05-22 10:41:08.238817,,,,,Lost,
LEAD_117017,facebook ,Neha Singh,IT,West,2026-01-17 10:41:08.238817,2026-01-21 10:41:08.238817,,,,Lost,
LEAD_107905,google ads,,Healthcare,,2025-07-21 10:41:08.238817,,,,,Lost,
LEAD_113983,google ads,,IT,North,2026-01-25 10:41:08.238817,2026-01-31 10:41:08.238817,2026-02-05 10:41:08.238817,2026-02-20 10:41:08.238817,2026-02-24 10:41:08.238817,Lost,
LEAD_107078,Google Ads,Neha Singh,Retail,,2026-02-05 10:41:08.238817,2026-02-11 10:41:08.238817,2026-02-24 10:41:08.238817,2026-03-07 10:41:08.238817,2026-03-11 10:41:08.238817,Won,100106.0
LEAD_117080,,,Healthcare,South,2026-01-05 10:41:08.238817,2026-01-09 10:41:08.238817,,,,Lost,
LEAD_114483,Referral,,IT,West,2025-02-24 10:41:08.238817,,,,,Lost,
LEAD_110529,Facebook,Rohit Kapoor,Healthcare,,2026-02-14 10:41:08.238817,2026-02-19 10:41:08.238817,2026-03-02 10:41:08.238817,,,Lost,
LEAD_114388,Facebook,amit verma,Education,East,2025-05-11 10:41:08.238817,2025-05-14 10:41:08.238817,2025-05-15 10:41:08.238817,2025-05-20 10:41:08.238817,2025-05-25 10:41:08.238817,Lost,
LEAD_100307,,amit verma,Retail,North,2025-06-27 10:41:08.238817,2025-07-01 10:41:08.238817,2025-07-03 10:41:08.238817,,,Lost,
LEAD_102787,facebook ,Amit Verma,Retail,West,2025-10-14 10:41:08.238817,,,,,Lost,
LEAD_114198,google ads,Priya Mehta,IT,East,2025-09-22 10:41:08.238817,2025-09-25 10:41:08.238817,2025-10-08 10:41:08.238817,,,Lost,
LEAD_104802,Facebook,rahul sharma,Healthcare,North,2025-08-07 10:41:08.238817,2025-08-15 10:41:08.238817,2025-08-25 10:41:08.238817,2025-09-12 10:41:08.238817,2025-09-20 10:41:08.238817,Lost,
LEAD_100525,LinkedIn,Rohit Kapoor,Finance,East,2025-12-05 10:41:08.238817,2025-12-14 10:41:08.238817,2025-12-17 10:41:08.238817,2025-12-27 10:41:08.238817,2025-12-31 10:41:08.238817,Lost,
LEAD_117215,Google Ads,PRIYA MEHTA,IT,East,2025-05-26 10:41:08.238817,,,,,Lost,
LEAD_117591,,,,West,2025-07-31 10:41:08.238817,,,,,Lost,
LEAD_103033,Referral,amit verma,Finance,North,2025-03-04 10:41:08.238817,,,,,Lost,
LEAD_105815,Website,Rohit Kapoor,,,2025-06-29 10:41:08.238817,2025-07-06 10:41:08.238817,2025-07-19 10:41:08.238817,2025-08-05 10:41:08.238817,2025-08-12 10:41:08.238817,Lost,
LEAD_109725,facebook ,Rahul Sharma,,West,2025-06-05 10:41:08.238817,2025-06-06 10:41:08.238817,2025-06-13 10:41:08.238817,,,Lost,
LEAD_112244,LinkedIn,,Education,West,2025-09-08 10:41:08.238817,2025-09-13 10:41:08.238817,2025-09-25 10:41:08.238817,2025-09-30 10:41:08.238817,2025-10-14 10:41:08.238817,Won,42275.0
LEAD_108198,Facebook,rahul sharma,,West,2025-10-28 10:41:08.238817,,,,,Lost,
LEAD_114237,Google Ads,,Finance,South,2025-12-01 10:41:08.238817,2025-12-04 10:41:08.238817,2025-12-13 10:41:08.238817,,,Lost,
LEAD_103016,google ads,Rohit Kapoor,Finance,North,2025-12-04 10:41:08.238817,2025-12-09 10:41:08.238817,,,,Lost,
LEAD_109176,website,,Healthcare,South,2025-05-07 10:41:08.238817,2025-05-13 10:41:08.238817,2025-05-25 10:41:08.238817,2025-06-09 10:41:08.238817,2025-06-18 10:41:08.238817,Lost,
LEAD_110692,Google Ads,amit verma,Retail,East,2025-10-11 10:41:08.238817,,,,,Lost,
LEAD_113799,,rahul sharma,,West,2025-02-28 10:41:08.238817,,,,,Lost,
LEAD_104048,facebook ,PRIYA MEHTA,Healthcare,North,2025-04-17 10:41:08.238817,2025-04-22 10:41:08.238817,,,,Lost,
LEAD_104039,,rahul sharma,IT,East,2025-05-23 10:41:08.238817,2025-05-30 10:41:08.238817,2025-06-09 10:41:08.238817,,,Lost,
LEAD_113348,website,Rohit Kapoor,Finance,South,2025-03-31 10:41:08.238817,2025-04-07 10:41:08.238817,,,,Lost,
LEAD_113376,Website,Rohit Kapoor,,South,2026-01-12 10:41:08.238817,2026-01-20 10:41:08.238817,2026-01-23 10:41:08.238817,2026-02-05 10:41:08.238817,2026-02-13 10:41:08.238817,Lost,
LEAD_106313,LinkedIn,Rohit Kapoor,Finance,South,2025-09-20 10:41:08.238817,2025-09-28 10:41:08.238817,,,,Lost,
LEAD_107828,google ads,amit verma,Finance,East,2025-08-02 10:41:08.238817,2025-08-06 10:41:08.238817,2025-08-10 10:41:08.238817,2025-08-23 10:41:08.238817,2025-08-25 10:41:08.238817,Lost,
LEAD_114755,Facebook,amit verma,,South,2026-02-06 10:41:08.238817,2026-02-10 10:41:08.238817,2026-02-15 10:41:08.238817,2026-03-02 10:41:08.238817,2026-03-08 10:41:08.238817,Won,194756.0
LEAD_114450,,Rahul Sharma,,,2025-05-19 10:41:08.238817,2025-05-24 10:41:08.238817,2025-05-27 10:41:08.238817,2025-05-28 10:41:08.238817,2025-05-30 10:41:08.238817,Won,94357.0
LEAD_113666,Referral,Amit Verma,Healthcare,East,2025-04-07 10:41:08.238817,2025-04-10 10:41:08.238817,,,,Lost,
LEAD_102408,facebook ,Neha Singh,Retail,North,2025-05-16 10:41:08.238817,,,,,Lost,
LEAD_108948,google ads,rahul sharma,IT,,2025-05-27 10:41:08.238817,,,,,Lost,
LEAD_116581,Facebook,rahul sharma,,East,2025-12-06 10:41:08.238817,2025-12-08 10:41:08.238817,2025-12-10 10:41:08.238817,,,Lost,
LEAD_110792,Referral,Rahul Sharma,Education,West,2026-01-14 10:41:08.238817,2026-01-23 10:41:08.238817,2026-01-28 10:41:08.238817,2026-02-10 10:41:08.238817,2026-02-16 10:41:08.238817,Won,131972.0
LEAD_109101,Website,amit verma,Retail,,2025-11-05 10:41:08.238817,2025-11-13 10:41:08.238817,2025-11-16 10:41:08.238817,,,Lost,
LEAD_115045,facebook ,Rahul Sharma,Finance,,2025-06-13 10:41:08.238817,2025-06-16 10:41:08.238817,,,,Lost,
LEAD_111955,facebook ,PRIYA MEHTA,,,2026-02-14 10:41:08.238817,2026-02-16 10:41:08.238817,,,,Lost,
LEAD_108808,Facebook,Neha Singh,,West,2025-03-22 10:41:08.238817,,,,,Lost,
LEAD_101370,website,PRIYA MEHTA,Education,South,2026-01-02 10:41:08.238817,2026-01-09 10:41:08.238817,,,,Lost,
LEAD_116568,Facebook,Rahul Sharma,Finance,West,2025-05-10 10:41:08.238817,2025-05-15 10:41:08.238817,,,,Lost,
LEAD_100647,Website,Rahul Sharma,,,2025-05-19 10:41:08.238817,,,,,Lost,
LEAD_108991,Google Ads,Priya Mehta,,West,2025-07-21 10:41:08.238817,2025-07-26 10:41:08.238817,2025-07-30 10:41:08.238817,2025-08-06 10:41:08.238817,2025-08-15 10:41:08.238817,Won,78278.0
LEAD_116305,Website,rahul sharma,Healthcare,North,2025-08-10 10:41:08.238817,2025-08-16 10:41:08.238817,,,,Lost,
LEAD_113291,,Rahul Sharma,Education,East,2025-10-15 10:41:08.238817,2025-10-24 10:41:08.238817,2025-10-30 10:41:08.238817,,,Lost,
LEAD_105019,,Rohit Kapoor,,East,2025-12-27 10:41:08.238817,,,,,Lost,
LEAD_104553,Facebook,PRIYA MEHTA,Education,West,2025-05-06 10:41:08.238817,2025-05-07 10:41:08.238817,2025-05-12 10:41:08.238817,2025-05-26 10:41:08.238817,2025-05-31 10:41:08.238817,Lost,
LEAD_103329,Google Ads,PRIYA MEHTA,,South,2025-05-06 10:41:08.238817,2025-05-14 10:41:08.238817,,,,Lost,
LEAD_105131,website,Amit Verma,Healthcare,South,2025-05-31 10:41:08.238817,2025-06-02 10:41:08.238817,2025-06-12 10:41:08.238817,,,Lost,
LEAD_102742,website,Rahul Sharma,Finance,,2025-05-02 10:41:08.238817,2025-05-09 10:41:08.238817,2025-05-17 10:41:08.238817,,,Lost,
LEAD_105379,Facebook,,,North,2026-01-02 10:41:08.238817,2026-01-05 10:41:08.238817,2026-01-11 10:41:08.238817,,,Lost,
LEAD_116067,facebook ,amit verma,Retail,East,2026-01-05 10:41:08.238817,2026-01-09 10:41:08.238817,,,,Lost,
LEAD_101363,Google Ads,Priya Mehta,,,2025-07-15 10:41:08.238817,2025-07-20 10:41:08.238817,2025-07-31 10:41:08.238817,,,Lost,
LEAD_114211,website,Priya Mehta,Finance,,2026-02-11 10:41:08.238817,,,,,Lost,
LEAD_100702,Facebook,Rohit Kapoor,Education,North,2025-10-10 10:41:08.238817,,,,,Lost,
LEAD_111063,Website,PRIYA MEHTA,Finance,East,2025-02-28 10:41:08.238817,2025-03-05 10:41:08.238817,2025-03-08 10:41:08.238817,,,Lost,
LEAD_108036,Referral,PRIYA MEHTA,Retail,East,2026-01-20 10:41:08.238817,2026-01-22 10:41:08.238817,2026-02-01 10:41:08.238817,,,Lost,
LEAD_106636,Referral,Rahul Sharma,Finance,South,2025-05-14 10:41:08.238817,2025-05-22 10:41:08.238817,,,,Lost,
LEAD_102863,,,IT,West,2025-12-27 10:41:08.238817,,,,,Lost,
LEAD_105866,,Rohit Kapoor,Healthcare,South,2025-05-14 10:41:08.238817,,,,,Lost,
LEAD_114995,google ads,amit verma,Healthcare,East,2025-11-29 10:41:08.238817,2025-11-30 10:41:08.238817,,,,Lost,
LEAD_110367,LinkedIn,Amit Verma,Retail,West,2025-06-26 10:41:08.238817,2025-06-28 10:41:08.238817,2025-07-04 10:41:08.238817,,,Lost,
LEAD_117544,LinkedIn,,Retail,West,2025-03-20 10:41:08.238817,2025-03-22 10:41:08.238817,2025-03-27 10:41:08.238817,,,Lost,
LEAD_106404,,Priya Mehta,,West,2025-12-30 10:41:08.238817,,,,,Lost,
LEAD_103492,google ads,rahul sharma,,,2025-11-26 10:41:08.238817,2025-12-02 10:41:08.238817,2025-12-16 10:41:08.238817,2025-12-19 10:41:08.238817,2025-12-27 10:41:08.238817,Won,85253.0
LEAD_111329,LinkedIn,PRIYA MEHTA,Healthcare,South,2025-09-02 10:41:08.238817,,,,,Lost,
LEAD_114307,Facebook,amit verma,,,2026-01-29 10:41:08.238817,2026-02-02 10:41:08.238817,2026-02-03 10:41:08.238817,2026-02-07 10:41:08.238817,2026-02-08 10:41:08.238817,Lost,
LEAD_115990,google ads,Rohit Kapoor,Healthcare,South,2025-06-30 10:41:08.238817,2025-07-04 10:41:08.238817,2025-07-15 10:41:08.238817,,,Lost,
LEAD_105703,,Rahul Sharma,Finance,,2025-03-29 10:41:08.238817,2025-03-30 10:41:08.238817,2025-03-31 10:41:08.238817,2025-04-14 10:41:08.238817,2025-04-28 10:41:08.238817,Won,39869.0
LEAD_109299,website,amit verma,Education,West,2025-12-25 10:41:08.238817,2026-01-01 10:41:08.238817,2026-01-02 10:41:08.238817,2026-01-10 10:41:08.238817,2026-01-16 10:41:08.238817,Lost,
LEAD_104406,Google Ads,Rahul Sharma,Education,North,2025-06-03 10:41:08.238817,2025-06-10 10:41:08.238817,2025-06-11 10:41:08.238817,,,Lost,
LEAD_117898,google ads,rahul sharma,Retail,,2025-12-25 10:41:08.238817,2026-01-02 10:41:08.238817,2026-01-05 10:41:08.238817,2026-01-07 10:41:08.238817,2026-01-14 10:41:08.238817,Lost,
LEAD_109166,LinkedIn,rahul sharma,Healthcare,South,2025-04-28 10:41:08.238817,2025-04-30 10:41:08.238817,2025-05-07 10:41:08.238817,2025-05-12 10:41:08.238817,2025-05-17 10:41:08.238817,Lost,
LEAD_106182,website,Priya Mehta,Finance,North,2025-07-05 10:41:08.238817,2025-07-14 10:41:08.238817,,,,Lost,
LEAD_103103,google ads,PRIYA MEHTA,Healthcare,South,2025-12-20 10:41:08.238817,2025-12-22 10:41:08.238817,2025-12-31 10:41:08.238817,2026-01-04 10:41:08.238817,2026-01-13 10:41:08.238817,Won,174713.0
LEAD_111872,google ads,,Retail,,2025-12-14 10:41:08.238817,2025-12-23 10:41:08.238817,,,,Lost,
LEAD_107932,Google Ads,Neha Singh,Retail,South,2025-11-16 10:41:08.238817,2025-11-17 10:41:08.238817,2025-11-22 10:41:08.238817,2025-11-30 10:41:08.238817,2025-12-07 10:41:08.238817,Lost,
LEAD_113372,Referral,PRIYA MEHTA,IT,North,2025-07-23 10:41:08.238817,2025-07-26 10:41:08.238817,2025-08-06 10:41:08.238817,,,Lost,
LEAD_103767,google ads,Priya Mehta,,East,2026-01-24 10:41:08.238817,,,,,Lost,
LEAD_111725,Referral,rahul sharma,,North,2025-10-26 10:41:08.238817,2025-10-28 10:41:08.238817,,,,Lost,
LEAD_111055,Google Ads,Rahul Sharma,,East,2025-05-31 10:41:08.238817,2025-06-01 10:41:08.238817,2025-06-10 10:41:08.238817,2025-06-12 10:41:08.238817,2025-06-17 10:41:08.238817,Won,120550.0
LEAD_101943,LinkedIn,Neha Singh,,East,2026-01-10 10:41:08.238817,,,,,Lost,
LEAD_116726,Facebook,rahul sharma,Healthcare,West,2025-06-13 10:41:08.238817,2025-06-19 10:41:08.238817,,,,Lost,
LEAD_109808,Google Ads,Neha Singh,Retail,East,2025-12-17 10:41:08.238817,2025-12-20 10:41:08.238817,,,,Lost,
LEAD_104947,Referral,Neha Singh,,East,2025-10-23 10:41:08.238817,2025-10-27 10:41:08.238817,2025-11-02 10:41:08.238817,2025-11-21 10:41:08.238817,2025-11-22 10:41:08.238817,Won,17371.0
LEAD_105096,facebook ,,Retail,South,2025-05-31 10:41:08.238817,2025-06-02 10:41:08.238817,2025-06-06 10:41:08.238817,2025-06-16 10:41:08.238817,2025-06-19 10:41:08.238817,Won,117751.0
LEAD_113869,Website,,IT,North,2025-09-04 10:41:08.238817,2025-09-09 10:41:08.238817,2025-09-13 10:41:08.238817,2025-10-02 10:41:08.238817,2025-10-03 10:41:08.238817,Won,182885.0
LEAD_109832,facebook ,Neha Singh,Retail,,2025-05-22 10:41:08.238817,2025-05-26 10:41:08.238817,2025-06-03 10:41:08.238817,2025-06-09 10:41:08.238817,2025-06-11 10:41:08.238817,Won,98696.0
